216,CA2_sp,Cortex,2
217,CA2_sr,Cortex,2
218,CA2slm,Cortex,2
219,CA2so,Cortex,2
220,CA2sp,Cortex,2
221,CA2sr,Cortex,2
222,CA3,Cortex,2
223,CA3_slm,Cortex,2
224,CA3_slu,Cortex,2
225,CA3_so,Cortex,2
226,CA3_sp,Cortex,2
227,CA3_sr,Cortex,2
228,CA3d,Cortex,2
229,CA3dd,Cortex,2
230,CA3i,Cortex,2
231,CA3ic,Cortex,2
232,CA3id,Cortex,2
233,CA3slm,Cortex,2
234,CA3slu,Cortex,2
235,CA3so,Cortex,2
236,CA3sp,Cortex,2
237,CA3sr,Cortex,2
238,CA3v,Cortex,2
239,CA3vv,Cortex,2
274,CLA,Cortex,2
282,COA,Cortex,2
283,COAa,Cortex,2
284,COAa_1,Cortex,2
285,COAa_2,Cortex,2
286,COAp,Cortex,2
287,COApl,Cortex,2
288,COApl_1,Cortex,2
289,COApl_2,Cortex,2
290,COApl_3,Cortex,2
291,COApm,Cortex,2
292,COApm_1,Cortex,2
293,COApm_2,Cortex,2
294,COApm_3,Cortex,2
367,DG,Cortex,2
368,DG_mo,Cortex,2
369,DG_po,Cortex,2
370,DG_sg,Cortex,2
371,DG-sg,Cortex,2
372,DGcr,Cortex,2
373,DGcr-mo,Cortex,2
374,DGcr-po,Cortex,2
375,DGcr-sg,Cortex,2
376,DGd,Cortex,2
377,DGi,Cortex,2
378,DGlb,Cortex,2
379,DGlb-mo,Cortex,2
380,DGlb-po,Cortex,2
381,DGlb-sg,Cortex,2
382,DGmb,Cortex,2
383,DGmb-mo,Cortex,2
384,DGmb-po,Cortex,2
385,DGmb-sg,Cortex,2
386,DGpod,Cortex,2
387,DGpov,Cortex,2
388,DGv,Cortex,2
403,DP,Cortex,2
404,DP_1,Cortex,2
405,DP_2/3,Cortex,2
406,DP_5,Cortex,2
407,DP_6a,Cortex,2
428,ENT,Cortex,2
429,ENTl,Cortex,2
430,ENTl_1,Cortex,2
431,ENTl_2,Cortex,2
432,ENTl_2/3,Cortex,2
433,ENTl_2a,Cortex,2
434,ENTl_2b,Cortex,2
435,ENTl_3,Cortex,2
436,ENTl_4,Cortex,2
437,ENTl_4/5,Cortex,2
438,ENTl_5,Cortex,2
439,ENTl_6,Cortex,2
440,ENTl_6a,Cortex,2
441,ENTl_6b,Cortex,2
442,ENTm,Cortex,2
443,ENTm_1,Cortex,2
444,ENTm_2,Cortex,2
445,ENTm_2a,Cortex,2
446,ENTm_2b,Cortex,2
447,ENTm_3,Cortex,2
448,ENTm_4,Cortex,2
449,ENTm_5,Cortex,2
450,ENTm_6,Cortex,2
451,ENTmv,Cortex,2
452,ENTmv_1,Cortex,2
453,ENTmv_2,Cortex,2
454,ENTmv_3,Cortex,2
455,ENTmv_5/6,Cortex,2
456,EP,Cortex,2
457,EP_d,Cortex,2
458,Ep_v,Cortex,2
459,EPd,Cortex,2
463,EPv,Cortex,2
466,FC,Cortex,2
515,HIP,Cortex,2
516,HPF,Cortex,2
535,IG,Cortex,2
576,LA,Cortex,2
681,MOB,Cortex,2
682,MOB_gl,Cortex,2
683,MOB_gr,Cortex,2
684,MOB_ipl,Cortex,2
685,MOB_mi,Cortex,2
686,MOB_opl,Cortex,2
687,MOBgl,Cortex,2
688,MOBgr,Cortex,2
689,MOBipl,Cortex,2
690,MOBmi,Cortex,2
691,MOBopl,Cortex,2
759,NLOT,Cortex,2
760,NLOT_1,Cortex,2
761,NLOT_2,Cortex,2
762,NLOT_3,Cortex,2
763,NLOT1,Cortex,2
764,NLOT2,Cortex,2
787,OLF,Cortex,2
827,PA,Cortex,2
828,PAA,Cortex,2
829,PAA_1,Cortex,2
830,PAA_2,Cortex,2
831,PAA_3,Cortex,2
839,PAR,Cortex,2
840,PAR_1,Cortex,2
841,PAR_2,Cortex,2
842,PAR_3,Cortex,2
896,PIR,Cortex,2
897,PIR_1,Cortex,2
898,PIR_2,Cortex,2
899,PIR_3,Cortex,2
900,PIR1,Cortex,2
901,PIR2,Cortex,2
902,PIR3,Cortex,2
931,POST,Cortex,2
932,POST_1,Cortex,2
933,POST_2,Cortex,2
934,POST_3,Cortex,2
944,PRE,Cortex,2
945,PRE_1,Cortex,2
946,PRE_2,Cortex,2
947,PRE_3,Cortex,2
1029,RHP,Cortex,2
1234,SUB,Cortex,2
1235,SUBd,Cortex,2
1236,SUBd_m,Cortex,2
1237,SUBd_sp,Cortex,2
1238,SUBd_sr,Cortex,2
1239,SUBd-m,Cortex,2
1240,SUBd-sp,Cortex,2
1241,SUBd-sr,Cortex,2
1242,SUBdd,Cortex,2
1243,SUBdv,Cortex,2
1245,SUBv,Cortex,2
1246,SUBv_m,Cortex,2
1247,SUBv_sp,Cortex,2
1248,SUBv_sr,Cortex,2
1249,SUBv-m,Cortex,2
1250,SUBv-sp,Cortex,2
1251,SUBv-sr,Cortex,2
1252,SUBvv,Cortex,2
1285,TR,Cortex,2
1286,TR_1,Cortex,2
1287,TR_2,Cortex,2
1288,TR_3,Cortex,2
1295,TT,Cortex,2
1296,TTd,Cortex,2
1297,TTd_1,Cortex,2
1298,TTd_2,Cortex,2
1299,TTd_3,Cortex,2
1300,TTd_4,Cortex,2
1302,TTv,Cortex,2
1303,TTv_1,Cortex,2
1304,TTv_2,Cortex,2
1305,TTv_3,Cortex,2
3,ab,fiber tracts,7
19,aco,fiber tracts,7
20,act,fiber tracts,7
54,alv,fiber tracts,7
63,amc,fiber tracts,7
80,aolt,fiber tracts,7
94,aot,fiber tracts,7
96,apd,fiber tracts,7
97,apf,fiber tracts,7
100,arb,fiber tracts,7
140,bct,fiber tracts,7
141,bic,fiber tracts,7
161,bsc,fiber tracts,7
241,cbc,fiber tracts,7
242,cbf,fiber tracts,7
244,cbp,fiber tracts,7
245,cbt,fiber tracts,7
247,cc,fiber tracts,7
248,ccg,fiber tracts,7
249,ccr,fiber tracts,7
250,ccs,fiber tracts,7
251,cct,fiber tracts,7
267,cett,fiber tracts,7
269,chfl,fiber tracts,7
270,chpl,fiber tracts,7
271,cic,fiber tracts,7
272,cing,fiber tracts,7
276,cm,fiber tracts,7
308,cpd,fiber tracts,7
329,cpt,fiber tracts,7
330,crt,fiber tracts,7
334,csc,fiber tracts,7
337,cst,fiber tracts,7
338,cstc,fiber tracts,7
339,cstu,fiber tracts,7
340,ctb,fiber tracts,7
341,cte,fiber tracts,7
346,cuf,fiber tracts,7
355,cvb,fiber tracts,7
356,cVIIIn,fiber tracts,7
357,das,fiber tracts,7
358,db,fiber tracts,7
359,dc,fiber tracts,7
360,dcm,fiber tracts,7
366,df,fiber tracts,7
389,dhc,fiber tracts,7
390,dl,fiber tracts,7
391,dlf,fiber tracts,7
409,drt,fiber tracts,7
410,dscp,fiber tracts,7
412,dtd,fiber tracts,7
414,dtt,fiber tracts,7
415,ec,fiber tracts,7
418,ect,fiber tracts,7
425,ee,fiber tracts,7
426,eg,fiber tracts,7
427,em,fiber tracts,7
461,eps,fiber tracts,7
462,epsc,fiber tracts,7
465,fa,fiber tracts,7
468,fi,fiber tracts,7
477,fp,fiber tracts,7
478,fpr,fiber tracts,7
479,fr,fiber tracts,7
484,fx,fiber tracts,7
485,fxpo,fiber tracts,7
486,fxprg,fiber tracts,7
487,fxs,fiber tracts,7
496,grf,fiber tracts,7
508,gVIIn,fiber tracts,7
510,hbc,fiber tracts,7
511,hc,fiber tracts,7
513,hf,fiber tracts,7
514,hht,fiber tracts,7
520,iaf,fiber tracts,7
522,ias,fiber tracts,7
532,icf,fiber tracts,7
533,icp,fiber tracts,7
539,IIIn,fiber tracts,7
540,Iin,fiber tracts,7
550,im,fiber tracts,7
552,In5,fiber tracts,7
554,int,fiber tracts,7
557,Iotg,fiber tracts,7
560,ipf,fiber tracts,7
567,Isst,fiber tracts,7
569,IVd,fiber tracts,7
571,iVIIn,fiber tracts,7
572,IVn,fiber tracts,7
573,IXn,fiber tracts,7
574,jrb,fiber tracts,7
577,lab,fiber tracts,7
583,lfbs,fiber tracts,7
584,lfbst,fiber tracts,7
597,ll,fiber tracts,7
599,lot,fiber tracts,7
600,lotd,fiber tracts,7
626,mcp,fiber tracts,7
627,mct,fiber tracts,7
659,mfb,fiber tracts,7
660,mfbc,fiber tracts,7
661,mfbs,fiber tracts,7
662,mfbse,fiber tracts,7
663,mfbsm,fiber tracts,7
664,mfbsma,fiber tracts,7
665,mfbst,fiber tracts,7
666,mfsbshy,fiber tracts,7
675,ml,fiber tracts,7
676,mlf,fiber tracts,7
720,mp,fiber tracts,7
734,mtc,fiber tracts,7
735,mtg,fiber tracts,7
737,mtt,fiber tracts,7
738,mtV,fiber tracts,7
739,mtv,fiber tracts,7
749,nf,fiber tracts,7
771,nst,fiber tracts,7
784,ntt,fiber tracts,7
785,och,fiber tracts,7
786,oct,fiber tracts,7
788,onl,fiber tracts,7
790,opt,fiber tracts,7
838,pap,fiber tracts,7
864,pc,fiber tracts,7
865,pce,fiber tracts,7
866,pcf,fiber tracts,7
870,per,fiber tracts,7
881,pfs,fiber tracts,7
889,php,fiber tracts,7
890,phpd,fiber tracts,7
891,phpl,fiber tracts,7
892,phpm,fiber tracts,7
893,phpv,fiber tracts,7
903,PIS,fiber tracts,7
915,plf,fiber tracts,7
918,pm,fiber tracts,7
923,pms,fiber tracts,7
925,pmx,fiber tracts,7
927,poc,fiber tracts,7
936,ppf,fiber tracts,7
948,pri,fiber tracts,7
960,psf,fiber tracts,7
965,ptf,fiber tracts,7
981,pvbh,fiber tracts,7
982,pvbt,fiber tracts,7
1017,py,fiber tracts,7
1018,pyd,fiber tracts,7
1025,rct,fiber tracts,7
1027,rf,fiber tracts,7
1030,ri,fiber tracts,7
1038,rrt,fiber tracts,7
1059,rst,fiber tracts,7
1060,rstl,fiber tracts,7
1061,rstm,fiber tracts,7
1063,rust,fiber tracts,7
1085,scp,fiber tracts,7
1086,scrt,fiber tracts,7
1092,sct,fiber tracts,7
1093,sctd,fiber tracts,7
1094,sctv,fiber tracts,7
1096,sec,fiber tracts,7
1103,shp,fiber tracts,7
1105,sif,fiber tracts,7
1111,sm,fiber tracts,7
1112,smd,fiber tracts,7
1118,snp,fiber tracts,7
1126,sop,fiber tracts,7
1134,sptV,fiber tracts,7
1150,srp,fiber tracts,7
1224,st,fiber tracts,7
1225,step,fiber tracts,7
1226,stf,fiber tracts,7
1228,stp,fiber tracts,7
1232,sttl,fiber tracts,7
1233,sttv,fiber tracts,7
1258,sup,fiber tracts,7
1259,supa,fiber tracts,7
